TICKERS,Name,Price,Market_Cap,Beta,Sector,Industry,P/E_Ratio,FWD_P/E_Ratio,PEG_Ratio,P/B_Ratio,P/S_Ratio_TTM,EV/EBITDA,Dividend_Yield,Payout_Ratio,Profit_Margin,Operating_Margin,EBITDA_Margin
AEO,"American Eagle Outfitters, Inc.",19.91,3862407157.2265625,1.48,Consumer Cyclical,Apparel Retail,16.0,10.3092785,0.95,2.2642791,0.70619977,7.542,0.024300002,0.38,0.04581,0.07831,0.12458
AER,AerCap Holdings N.V.,96.64,18846505343.002197,1.83,Industrials,Rental & Leasing Services,6.3577075,7.9979305,1.61,1.0811204,2.4324408,15.012,0.0104,0.0165,0.42051,0.52274,0.53716
AES,The AES Corporation,17.045,11986179613.433594,1.07,Utilities,Utilities—Diversified,16.14762,8.200483,1.47,3.901794,0.9795296,12.66,0.0401,0.6446,0.06066,0.16451,0.28184
AESI,Atlas Energy Solutions Inc.,20.265,2994017792.9649353,,Energy,Oil & Gas Equipment & Services,17.055555,7.686539,-67.13,2.0675564,3.9470444,9.198,0.0463,0.7094,0.13711001,0.122530006,0.35993
AEVA,"Aeva Technologies, Inc.",4.1113,212765548.89564514,1.397,Technology,Software—Infrastructure,,-1.8251122,-0.08,1.352992,33.55158,-0.389,,,,-18.59493,
AFB,"AllianceBernstein National Municipal Income Fund, Inc.",11.55,333153395.38612366,0.547,Financial Services,Asset Management,60.894737,,,0.94867164,13.052241,,0.040999997,2.0627,0.21123,0.85942,
AFG,"American Financial Group, Inc.",132.485,11034868100.67749,0.771,Financial Services,Insurance—Property & Casualty,12.471698,11.084937,4.8,2.5349257,1.4421989,8.808,0.0239,0.2604,0.1158,0.16022,0.17351
AFL,Aflac Incorporated,112.16,62689310016.21094,0.949,Financial Services,Insurance—Life,11.835617,15.801687,1.81,2.4216256,3.2509592,10.168,0.0177,0.19389999,0.28340998,0.40269002,0.33664
AG,First Majestic Silver Corp.,7.974,2372603566.177368,1.362,Basic Materials,Silver,,26.999655,-2.03,1.7038804,4.7077317,-89.382,0.0023999999,0.0673,-0.15367,-0.04103,-0.050970003
AGCO,AGCO Corporation,99.43,7343683238.493164,1.254,Industrials,Farm & Heavy Construction Machinery,17.637499,13.476839,-0.64,1.8199393,0.55014074,6.656,0.0117999995,0.20709999,0.03131,0.08809,0.12661
AGD,Abrdn Global Dynamic Dividend Fund,10.585,263445741.13969803,1.02,Financial Services,Asset Management,17.666666,,,0.97822076,14.39227,,0.1356,1.3,0.80724996,0.82815003,
AGI,Alamos Gold Inc.,21.339,8983129809.148804,1.1,Basic Materials,Gold,42.7,19.722221,-1.83,2.7798436,8.02289,14.522,0.0047999998,0.2,0.17725,0.41731998,0.51285
AGL,"agilon health, inc.",2.785,1145774387.9006653,0.54,Healthcare,Medical Care Facilities,,-15.361111,0.01,1.6930091,0.21353279,-3.474,,,-0.056560002,-0.02865,-0.043649998
AGM,Federal Agricultural Mortgage Corporation,185.64,1940360974.21875,1.056,Financial Services,Credit Services,11.204642,10.333521,1.09,1.9635593,5.459408,,0.0305,0.3053,0.57681,0.71292,
AGO,Assured Guaranty Ltd.,84.62,4444550192.504883,1.1,Financial Services,Insurance—Specialty,6.9332514,13.3105345,4.75,0.813761,5.3273034,12.231,0.0146,0.096599996,0.86331004,0.55446,0.41127
AGR,"Avangrid, Inc.",35.66,13810451810.517334,0.558,Utilities,Utilities—Regulated Electric,14.168652,14.877084,39.6,0.69473094,1.6057132,11.97,0.0493,0.69839996,0.11354,0.10816,0.27769
AGRO,Adecoagro S.A.,11.535,1195207561.091423,1.074,Consumer Defensive,Farm Products,5.759901,8.423913,1.13,0.8700556,0.89415956,5.465,0.0293,0.165,0.16280001,0.06369,0.30989
AGS,"PlayAGS, Inc.",11.62,468773849.650383,2.362,Consumer Cyclical,Gambling,105.90909,14.746835,0.37,6.745802,1.2432667,6.454,,,0.01248,0.14374,0.39819
AGX,"Argan, Inc.",125.355,1692984885.4370117,0.507,Industrials,Engineering & Construction,39.213165,24.812254,3.02,5.5266385,2.3813434,26.852,0.0116,0.3762,0.061100002,0.082270004,0.06605
AHH,"Armada Hoffler Properties, Inc.",10.99,1116234374.5651245,1.061,Real Estate,REIT—Diversified,,44.02,8.27,1.8926015,1.5119541,15.732,0.074499995,8.777801,0.01219,0.10853,0.22775
AHR,"American Healthcare REIT, Inc.",24.69,3754585358.356476,,Real Estate,REIT—Healthcare Facilities,,129.42105,840.33,1.6706387,1.942047,18.417,0.040700004,,-0.01815,0.06087,0.15571
AHT,"Ashford Hospitality Trust, Inc.",0.5703,32797567.6535964,2.335,Real Estate,REIT—Hotel & Motel,,-0.25170404,-0.33,,0.025802713,12.421,,,0.02251,0.11436,0.20325
AI,"C3.ai, Inc.",25.45,3177537765.6326294,1.8,Technology,Software—Application,,-74.14706,-0.93,3.6376748,9.979316,-8.149,,,-0.85475,-0.83228,-0.9383
AIG,"American International Group, Inc.",77.25,49526271922.37891,1.072,Financial Services,Insurance—Diversified,14.895754,11.279562,0.61,1.1290959,1.0809401,5.105,0.020599999,0.28190002,-0.01396,0.14224,0.19606
AIN,Albany International Corp.,72.41,2264121361.392975,1.26,Consumer Cyclical,Textile Manufacturing,20.647142,18.06625,2.42,2.3306959,1.8062775,9.633,0.014199999,0.2943,0.08758,0.13507,0.2125
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund,22.5816,769925222.6200104,,,,7.0062304,,,,,,0.1116,,,,
AIR,AAR Corp.,61.88,2235250763.59787,1.556,Industrials,Aerospace & Defense,34.337017,13.855556,1.26,1.8189502,0.9130178,15.16,,,0.026700001,0.06211,0.08754
AIT,"Applied Industrial Technologies, Inc.",228.09,8713319114.808655,1.03,Industrials,Industrial Distribution,23.06619,21.51564,1.98,5.162732,1.9602985,16.597,0.0064,0.14649999,0.08612,0.12002,0.12235
AIV,Apartment Investment and Management Company,8.555,1202968370.834137,1.505,Real Estate,REIT—Residential,,-19.0,-1.69,4.63474,6.072165,31.63,,,-1.12651,-0.021429999,0.42854
AIZ,"Assurant, Inc.",192.875,9921524421.551514,0.563,Financial Services,Insurance—Property & Casualty,12.808539,10.912699,2.06,1.996747,0.8637219,7.707,0.0148,0.1908,0.06899,0.08917,0.114259996
AJG,Arthur J. Gallagher & Co.,286.91,62992478371.398926,0.725,Financial Services,Insurance Brokers,55.912277,25.289164,2.58,5.435268,6.0507956,21.558,0.0083,0.44919997,0.10977,0.18977,0.31561002
AJX,Great Ajax Corp.,3.34,152785120.65052986,1.845,Real Estate,REIT—Mortgage,,7.4888887,,0.3372698,-2.011098,,0.0738,2.1556,,1.5457699,
AKA,a.k.a. Brands Holding Corp.,25.8101,274164800.0,1.414,Consumer Cyclical,Apparel Retail,,-29.885057,0.3,2.004626,0.50179464,86.624,,,-0.17188999,0.00427,0.00878
AKR,Acadia Realty Trust,24.27,2717013094.345093,1.49,Real Estate,REIT—Retail,2423.0,65.54054,38.81,1.4311882,7.869662,24.914,0.031400003,72.0,0.00566,0.23653,0.55196
AL,Air Lease Corporation,44.19,4914510125.0,1.601,Industrials,Rental & Leasing Services,9.45279,9.575922,0.51,0.67477554,1.8153867,,0.0191,0.17809999,0.2085,0.49609002,
ALB,Albemarle Corporation,96.53,11044576153.4729,1.545,Basic Materials,Specialty Chemicals,,36.764706,251.85,1.2273934,1.513864,-18.258,0.0173,0.5797,-0.06716,-0.13694,-0.11276
ALC,Alcon Inc.,94.47,46564098417.70996,0.717,Healthcare,Medical Instruments & Supplies,42.423424,26.764204,2.57,2.2258432,4.84667,21.757,0.0028,0.1197,0.11436,0.13101,0.24024001
ALE,"ALLETE, Inc.",64.254,3715045171.247864,0.788,Utilities,Utilities—Diversified,16.752605,15.852217,2.13,1.3172868,2.4117756,14.133,0.0438,0.72010005,0.14364,0.09337,0.27831
ALEX,"Alexander & Baldwin, Inc.",18.3,1338056609.5939636,1.279,Real Estate,REIT—Retail,25.569443,30.155737,1.22,1.3340995,6.035664,15.198,0.048800003,1.2326,0.18257,0.2882,0.5248
ALG,Alamo Group Inc.,172.67,2065455892.6391602,1.064,Industrials,Farm & Heavy Construction Machinery,16.357346,14.68681,2.73,2.0966132,1.2364001,9.607,0.0061000003,0.090900004,0.07557,0.10403,0.14046
ALIT,"Alight, Inc.",7.135,3955168433.274048,1.068,Technology,Software—Application,,12.4561405,1.14,0.8594601,1.1837652,14.669,,,-0.08958,-0.063200004,0.13333
ALK,"Alaska Air Group, Inc.",45.79,5785651817.001343,1.608,Industrials,Airlines,26.107956,8.382299,0.69,1.3736757,0.550778,5.919,,,0.021389998,0.16017,0.115200005
ALL,The Allstate Corporation,192.1925,50672107741.66699,0.476,Financial Services,Insurance—Property & Casualty,17.580748,10.642683,0.08,3.0639002,0.84253865,11.389,0.0191,0.33,0.050300002,0.03443,0.08015
ALLE,Allegion plc,150.9866,13159392298.432617,1.124,Industrials,Security & Protection Services,24.034975,19.501936,2.92,9.240479,3.585131,17.417,0.0126,0.29569998,0.15078,0.21655001,0.2352
ALLY,Ally Financial Inc.,34.965,10648265861.56836,1.384,Financial Services,Credit Services,15.090517,8.106482,0.48,0.8591543,1.5762831,,0.0346,0.5172,0.13069001,0.14045,
ALSN,"Allison Transmission Holdings, Inc.",98.7786,8576112352.125732,0.989,Consumer Cyclical,Auto Parts,12.789611,10.974417,0.97,15.81582,2.7626295,9.02,0.0101,0.1247,0.21951,0.27329,0.35462
ALTG,Alta Equipment Group Inc.,6.04,195245753.15594673,1.668,Industrials,Rental & Leasing Services,,-8.442857,,1.5552632,0.104072064,8.799,0.038599998,1.2667,-0.00954,0.0211,0.08611
ALTM,Arcadium Lithium plc,5.535,5947128214.114197,1.619,Basic Materials,Specialty Chemicals,16.264706,26.357143,-2.27,0.9491933,6.5550475,22.532,,,0.24909,0.25344,0.34525
ALUR,Allurion Technologies Inc.,0.7146,44421323.85467291,-0.37,Healthcare,Medical Devices,,-1.6664286,,,0.9603739,-1.663,,,-0.78562,-0.67533994,-1.37257
ALV,"Autoliv, Inc.",97.41,7684590639.878662,1.602,Consumer Cyclical,Auto Parts,12.686685,9.384874,0.89,3.351117,0.7289676,7.107,0.028099999,0.35509998,0.059860002,0.0908,0.12836
ALX,"Alexander's, Inc.",229.47,1171969842.5344849,0.793,Real Estate,REIT—Retail,22.878366,17.63797,,5.5146475,5.0269575,14.824,0.078600004,1.7928,0.22102,0.32861,0.53498
AM,Antero Midstream Corporation,15.115,7307417164.709595,2.224,Energy,Oil & Gas Midstream,18.93125,14.572116,1.72,3.4253395,6.361249,,0.0596,1.125,0.3395,0.53618,0.74343
AMBC,"Ambac Financial Group, Inc.",11.61,546520341.7167664,1.232,Financial Services,Insurance—Specialty,7.1304345,163.85715,1.01,0.37951666,1.6197311,29.072,,,0.20709999,0.10989001,0.46745998
AMBP,Ardagh Metal Packaging S.A.,4.185,2595890271.2644043,0.611,Consumer Cyclical,Packaging & Containers,,18.195652,0.81,,0.51766694,10.094,0.0959,5.0,-0.0101499995,0.050830003,0.12597999
AMC,"AMC Entertainment Holdings, Inc.",4.295,1544792693.661499,1.973,Communication Services,Entertainment,,-8.693265,0.02,,0.3461762,40.307,,,-0.081470005,-0.046279997,0.052199997
AMCR,Amcor plc,10.99,15819246209.157227,0.86,Consumer Cyclical,Packaging & Containers,21.89,13.867088,2.0,4.082583,1.1640073,12.352,0.045,0.98510003,0.05352,0.10438,0.13614
AME,"AMETEK, Inc.",168.75,38877210607.91016,1.172,Industrials,Specialty Industrial Machinery,29.252615,23.073488,2.95,4.2013464,5.7204328,19.664,0.0066000004,0.1847,0.19514999,0.25279,0.31072
AMG,"Affiliated Managers Group, Inc.",192.395,5694891621.643066,1.199,Financial Services,Asset Management,11.131352,7.6483846,0.63,1.9111812,2.833668,12.088,0.0002,0.0023,0.31500998,0.34859002,0.35588002
AMH,American Homes 4 Rent,38.13,15745567807.525635,0.763,Real Estate,REIT—Residential,38.89175,58.937504,6.88,1.9678632,9.502713,22.245,0.0279,0.9897,0.21826,0.23474,0.50016
AMN,"AMN Healthcare Services, Inc.",39.6,1518175933.9931488,0.118,Healthcare,Medical Care Facilities,14.954886,13.607877,0.65,1.71961,0.46466687,7.24,,,0.03069,0.050869998,0.115
AMP,"Ameriprise Financial, Inc.",519.51,50934407354.08594,1.346,Financial Services,Asset Management,17.78063,13.5722475,0.84,10.253096,3.0056942,,0.0113,0.1892,0.18089001,0.36270002,
AMPS,"Altus Power, Inc.",3.46,546365843.8968658,0.965,Utilities,Utilities—Renewable,26.346155,343.5,,1.1268754,3.2111223,22.593,,,0.13549,0.3471,0.51815
AMPX,"Amprius Technologies, Inc.",1.6251,188864440.65642357,2.712,Industrials,Electrical Equipment & Parts,,-4.1341467,,2.835821,14.392024,-4.123,,,,-3.86607,
AMPY,Amplify Energy Corp.,6.6599,269120522.5886345,1.968,Energy,Oil & Gas E&P,10.075454,4.937037,0.64,0.6779403,0.84509325,4.126,,,0.089540005,0.17674999,0.2983
AMR,"Alpha Metallurgical Resources, Inc.",205.09,2681474350.341797,1.321,Basic Materials,Coking Coal,6.0450115,6.9199996,,1.6289468,0.7871743,3.234,0.0097,0.0294,0.13524,0.08302,0.21632999
AMRC,"Ameresco, Inc.",30.39,1584127551.0120392,1.785,Industrials,Engineering & Construction,28.271027,16.765194,0.98,1.7384703,1.0550432,22.931,,,0.037720002,0.04782,0.10722
AMT,American Tower Corporation,221.7,103376918683.3789,0.832,Real Estate,REIT—Specialty,41.4794,33.553032,0.99,26.818678,9.12358,21.873,0.0293,1.2308,0.21954,0.44592,0.62456
AMTB,Amerant Bancorp Inc.,20.5,850503482.847023,0.984,Financial Services,Banks—Regional,33.67213,10.108375,,0.92952365,2.580796,,0.0175,0.5902,0.06271,0.110249996,
AMTM,"Amentum Holdings, Inc.",29.085,6953571160.0,,Industrials,Specialty Business Services,17.065477,,,,1.2516016,,,,0.045760002,0.062589996,0.0771
AMWL,American Well Corporation,10.1136,153507836.5688324,1.059,Healthcare,Health Information Services,,-1.1800921,-0.02,0.42146143,0.5947683,0.481,,,-1.20444,-0.83415,-0.82011
AMX,"América Móvil, S.A.B. de C.V.",16.765,52667117532.63672,0.299,Communication Services,Telecom Services,28.016665,9.858824,1.37,2.486958,0.06290713,6.388,0.0305,0.8054,0.04429,0.21231002,0.33181
AN,"AutoNation, Inc.",162.105,6477232825.964355,1.197,Consumer Cyclical,Auto & Truck Dealerships,8.83769,8.489023,0.38,2.948874,0.24174535,9.438,,,0.0293,0.04244,0.06072
ANET,"Arista Networks, Inc.",398.65,124117132159.90723,1.075,Technology,Computer Hardware,51.23087,41.607178,2.53,14.670159,19.8877,45.676,,,0.39008,0.41384998,0.42088002
ANF,Abercrombie & Fitch Co.,155.96,8117937416.888428,1.5,Consumer Cyclical,Apparel Retail,16.7667,14.883786,0.86,6.72,1.7202766,10.203,,,0.107559994,0.15507,0.17514
ANRO,,14.3832,385783301.3124466,,Healthcare,Biotechnology,,-5.268382,,2.1481037,,-3.756,,,,,
ANVS,"Annovis Bio, Inc.",9.8745,128320819.00405884,1.721,Healthcare,Biotechnology,,-5.3756905,,,,,,,,,
AOD,Abrdn Total Dynamic Dividend Fund,9.025,950987668.2624817,0.985,Financial Services,Asset Management,13.477612,,,0.9661109,13.439071,,0.133,1.0299,0.74783,0.83327,
AOMR,"Angel Oak Mortgage REIT, Inc.",9.59,225298244.44122314,1.354,Real Estate,REIT—Mortgage,4.868687,7.218045,,0.93814135,3.2165847,,0.132,0.6465,0.71443003,-0.02448,
AON,Aon plc,355.08,76762462025.93994,0.917,Financial Services,Insurance Brokers,28.483923,20.415272,2.04,13.130467,5.4542193,20.817,0.0076,0.2026,0.18004,0.22766,0.32377
AORT,"Artivion, Inc.",26.525,1097819164.3037796,1.741,Healthcare,Medical Devices,,138.68422,222.75,3.736544,2.9494169,28.869,,,-0.02219,0.084750004,0.13081999
AOS,A. O. Smith Corporation,78.5,11480917948.273438,1.149,Industrials,Specialty Industrial Machinery,20.30491,19.147202,2.06,6.029602,2.9139674,13.747,0.0173,0.32560003,0.14674,0.20238,0.21099001
AP,Ampco-Pittsburgh Corporation,1.854,37096086.68192625,0.855,Industrials,Metal Fabrication,,7.956522,,0.6299484,0.08661156,6.227,,,-0.09671,0.05625,0.06758
APAM,Artisan Partners Asset Management Inc.,44.355,3130283122.668457,1.793,Financial Services,Asset Management,13.355225,11.944,-0.78,9.145667,3.0069253,10.696,0.0625,0.7612,0.22748,0.31994,0.32195
APD,"Air Products and Chemicals, Inc.",329.955,73188546368.10303,0.83,Basic Materials,Specialty Chemicals,28.64987,24.678892,4.3,4.8563185,6.0598035,20.852,0.0214,0.6116,0.21239,0.23798001,0.347
APG,APi Group Corporation,34.05,9336917501.068115,1.824,Industrials,Engineering & Construction,,15.97183,1.45,3.291727,1.3564963,17.172,,,0.028080001,0.07457,0.10358
APH,Amphenol Corporation,67.03,80013033729.28125,1.243,Technology,Electronic Components,39.808388,32.502438,2.3,8.929625,6.0472126,25.915,0.0099,0.2597,0.15694,0.21298,0.24416
APLE,"Apple Hospitality REIT, Inc.",14.915,3605126636.6361694,1.131,Real Estate,REIT—Hotel & Motel,17.258621,17.641176,,1.0836833,2.5861208,11.516,0.064,1.1034,0.14907,0.23858,0.32658002
APO,"Apollo Global Management, Inc.",144.29,81850579023.74414,1.613,Financial Services,Asset Management,15.552432,17.150179,1.51,5.9079714,3.1611037,,0.0128,0.1895,0.22028999,0.24292,
APTV,Aptiv PLC,69.63,16353215641.479492,1.792,Consumer Cyclical,Auto Parts,5.236226,8.988342,0.41,1.6132109,0.8208022,8.168,,,0.18464,0.1083,0.14896
AQN,Algonquin Power & Utilities Corp.,5.1013,3898360616.395813,0.52,Utilities,Utilities—Renewable,31.75,15.424242,6.98,0.65122825,1.4955223,14.396,0.051,2.7125,0.04696,0.13739,0.36565
AR,Antero Resources Corporation,26.715,8386073474.021912,3.346,Energy,Oil & Gas E&P,103.15385,12.605634,3.24,1.1954054,1.9124475,,,,0.01911,-0.06036,0.22041
ARC,"ARC Document Solutions, Inc.",3.43,148351097.4243164,1.114,Industrials,Specialty Business Services,19.055555,11.400332,1.26,0.94961244,0.5183817,6.851,0.0585,1.1111,0.0276,0.06704,0.101160005
ARCH,"Arch Resources, Inc.",142.155,2572297830.7037354,0.621,Basic Materials,Coking Coal,10.240808,7.635752,,1.7692125,0.92565197,5.061,0.0291,0.5671,0.09356,0.025239998,0.17396
ARCO,Arcos Dorados Holdings Inc.,9.135,1930726460.283844,1.164,Consumer Cyclical,Restaurants,11.277778,11.277778,0.33,4.10009,0.42739135,7.233,0.025899999,0.2593,0.03798,0.066810004,0.10791001
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",14.98,344641599.1258621,,Financial Services,Asset Management,6.4784484,,,,,,0.1164,0.96949995,,,
ARDT,"Ardent Health Partners, Inc.",19.2,2685372180.48,,Healthcare,Medical Care Facilities,31.796612,9.33582,,12.311228,0.48236164,12.097,,,0.01535,0.06933,0.07316
ARE,"Alexandria Real Estate Equities, Inc.",117.19,20427858066.467285,,Real Estate,REIT—Office,144.09877,33.274284,-6.69,1.1379145,6.623689,19.908,0.0435,6.2716,0.09618,0.27842,0.61748004
ARES,Ares Management Corporation,168.35,52686440331.78711,1.235,Financial Services,Asset Management,86.20103,29.08087,1.78,16.664677,16.459446,45.894,0.0221,1.7526,0.12533,0.29108,0.34098998
ARI,"Apollo Commercial Real Estate Finance, Inc.",8.71,1209844569.1274414,1.801,Real Estate,REIT—Mortgage,174.7,9.210526,106.86,0.60623914,6.8613806,,0.1149,28.0,0.13593,0.42534,
ARIS,"Aris Water Solutions, Inc.",16.16,988317708.0070496,1.613,Utilities,Utilities—Regulated Water,21.506666,11.439716,,1.4655643,2.3062944,7.456,0.025799999,0.5,0.05974,0.23568001,0.43476
ARL,"American Realty Investors, Inc.",14.64,224674317.5354004,0.575,Real Estate,Real Estate Services,57.958336,,,0.36347008,4.568583,69.221,,,0.07309,-0.06322,0.15779
ARLO,"Arlo Technologies, Inc.",11.27,1135277469.68956,1.764,Industrials,Building Products & Equipment,,21.615385,-1.47,11.128713,2.181515,-49.379,,,-0.04186,-0.09327,-0.03976
ARMK,Aramark,39.5,10379890686.79126,1.681,Industrials,Specialty Business Services,21.845304,20.492228,2.16,3.5395973,0.5230776,9.638,0.0095999995,0.2182,0.01732,0.03695,0.08392999
AROC,"Archrock, Inc.",20.355,3598012908.1069336,1.495,Energy,Oil & Gas Equipment & Services,23.0,14.6285715,-1.57,3.575048,3.406043,10.645,0.0323,0.71910006,0.13196,0.29969,0.45262
ARR,"ARMOUR Residential REIT, Inc.",19.715,971893493.1930542,1.502,Real Estate,REIT—Mortgage,,4.906404,-0.46,0.8358529,-16.196308,,0.1442,24.0,,1.30429,
